"Countries"	"Type"	"IMPORTATIONS"	"REL_IMP"	"EXPORTATIONS"	"REL_EXP"	"Cropland.2001"	"Cropland.2015"	"var.cropland.01.15"	"Prop_dep.crops.Exp"	"VP.production"	"dependent.production"	"non.dependent.production"	"total.production"	"VP.cons"	"VNP.non.dep.cons"	"dep.cons"	"non.dep.cons"	"total.cons"	"dep.imp.VP.cons"	"dep.imp.non.dep.cons"	"dep.imp.cons"	"cropland.adj.to.vegetation"	"PropCropNearNature_600m_mean"	"PropCropNearNature_600m2001"	"PropCropNearNature_600m2015"	"total.cropland"	"Contact"	"NoContact"	"avg.HDI"	"HDI_exp"	"HDI_imp"	"population"	"country.area.2015"	"forest.land.2015"	"part.protectedland.total.land"
"Afghanistan"	"Total"	"1043387.4"	"0.00213207813127808"	"53537.8"	"0.000122183574734861"	"2338564"	"3000465"	"1.2830373682311"	"1"	"352303.999239843"	"7113544.4"	"7113544.4"	"6269582"	"353896.155172409"	"7001684.04482759"	"7355580.2"	"7861358.2"	"7259431.6"	"0.00241807739981208"	"0.00341621787579072"	"0.143728525522577"	"0.680215503092794"	"0.680215503092794"	"0.690845293639522"	"0.679878926610301"	"61404859933.8876"	"41768514960.5444"	"19636344973.3432"	0.4298	0.622961288	0.674427653	27895903	65286	1350	0.020678246
"Afghanistan"	"Pollinator dependent"	"270773.8"	"0.0014525619933004"	"28738"	"0.000167197232229597"	"155393"	"147860"	"0.951522912872523"	"1"	"352303.999239843"	"7113544.4"	"7113544.4"	"6269582"	"353896.155172409"	"7001684.04482759"	"7355580.2"	"7861358.2"	"7259431.6"	"0.00241807739981208"	"0.106428938596239"	"0.0372995869263373"	"0.680215503092794"	"0.680215503092794"	"0.690845293639522"	"0.679878926610301"	"61404859933.8876"	"41768514960.5444"	"19636344973.3432"	0.4298	0.622961288	0.674427653	27895903	65286	1350	0.020678246
"Afghanistan"	"VP"	"17553.8674874416"	"0.0005545427847536"	"15961.7115548755"	"0.000506798542683575"	"107352.522714526"	"100526.898088599"	"0.951522912872523"	"0.55542179535373"	"352303.999239843"	"7113544.4"	"7113544.4"	"6269582"	"353896.155172409"	"7001684.04482759"	"7355580.2"	"7861358.2"	"7259431.6"	"0.00241807739981208"	"0.106428938596239"	"0.0372995869263373"	"0.680215503092794"	"0.680215503092794"	"0.690845293639522"	"0.679878926610301"	"61404859933.8876"	"41768514960.5444"	"19636344973.3432"	0.4298	0.622961288	0.674427653	27895903	65286	1350	0.020678246
"Afghanistan"	"VNP"	"1025833.53251256"	"0.00224117592220005"	"37576.0884451245"	"9.23972190519189e-05"	"674937.589439711"	"881896.261137431"	"1.30663379093988"	"1.30754013658308"	"352303.999239843"	"7113544.4"	"7113544.4"	"6269582"	"353896.155172409"	"7001684.04482759"	"7355580.2"	"7861358.2"	"7259431.6"	"0.00241807739981208"	"0.106428938596239"	"0.0372995869263373"	"0.680215503092794"	"0.680215503092794"	"0.690845293639522"	"0.679878926610301"	"61404859933.8876"	"41768514960.5444"	"19636344973.3432"	0.4298	0.622961288	0.674427653	27895903	65286	1350	0.020678246
"Afghanistan"	"Non pollinator dependent"	"772613.6"	"0.00255017783153906"	"24799.8"	"9.31293061200002e-05"	"2183171"	"2852605"	"1.30663379093988"	"1"	"352303.999239843"	"7113544.4"	"7113544.4"	"6269582"	"353896.155172409"	"7001684.04482759"	"7355580.2"	"7861358.2"	"7259431.6"	"0.00241807739981208"	"0.106428938596239"	"0.0372995869263373"	"0.680215503092794"	"0.680215503092794"	"0.690845293639522"	"0.679878926610301"	"61404859933.8876"	"41768514960.5444"	"19636344973.3432"	0.4298	0.622961288	0.674427653	27895903	65286	1350	0.020678246
"Albania"	"VP"	"16268.2408788003"	"0.000513928660246888"	"14556.1295500615"	"0.000462170063512468"	"31424.361490487"	"31032.435508989"	"0.997606412587672"	"0.471496347848924"	"307377.007437356"	"1934090.06666667"	"1934090.06666667"	"1934090.06666667"	"309089.118766095"	"1687485.68123391"	"1996574.8"	"2270846.33333333"	"2333331.06666667"	"0.00697211000667844"	"0.146355942174344"	"0.0400101531527202"	"0.57825239499269"	"0.57825239499269"	"0.583077179101328"	"0.577186562056895"	"9540035771.14069"	"5516752197.62279"	"4023283573.51789"	0.720266667	0.654110755	0.804031035	2960676	2875	771.5	0.268347826
"Albania"	"Pollinator dependent"	"93356.9333333333"	"0.000500811870170154"	"30872.2"	"0.000179613974279301"	"53894"	"53765"	"0.997606412587672"	"1"	"307377.007437356"	"1934090.06666667"	"1934090.06666667"	"1934090.06666667"	"309089.118766095"	"1687485.68123391"	"1996574.8"	"2270846.33333333"	"2333331.06666667"	"0.00697211000667844"	"0.146355942174344"	"0.0400101531527202"	"0.57825239499269"	"0.57825239499269"	"0.583077179101328"	"0.577186562056895"	"9540035771.14069"	"5516752197.62279"	"4023283573.51789"	0.720266667	0.654110755	0.804031035	2960676	2875	771.5	0.268347826
"Albania"	"Non pollinator dependent"	"341496.866666667"	"0.00112718406576506"	"4740.6"	"1.78021108473646e-05"	"216404"	"222000"	"1.02585904142252"	"1"	"307377.007437356"	"1934090.06666667"	"1934090.06666667"	"1934090.06666667"	"309089.118766095"	"1687485.68123391"	"1996574.8"	"2270846.33333333"	"2333331.06666667"	"0.00697211000667844"	"0.146355942174344"	"0.0400101531527202"	"0.57825239499269"	"0.57825239499269"	"0.583077179101328"	"0.577186562056895"	"9540035771.14069"	"5516752197.62279"	"4023283573.51789"	0.720266667	0.654110755	0.804031035	2960676	2875	771.5	0.268347826
"Albania"	"Total"	"434853.8"	"0.00088858872292609"	"35612.8"	"8.12752711227894e-05"	"270298"	"275765"	"1.02022582483037"	"1"	"307377.007437356"	"1934090.06666667"	"1934090.06666667"	"1934090.06666667"	"309089.118766095"	"1687485.68123391"	"1996574.8"	"2270846.33333333"	"2333331.06666667"	"0.00697211000667844"	"0.00203168768792518"	"0.186366095327064"	"0.57825239499269"	"0.57825239499269"	"0.583077179101328"	"0.577186562056895"	"9540035771.14069"	"5516752197.62279"	"4023283573.51789"	0.720266667	0.654110755	0.804031035	2960676	2875	771.5	0.268347826
"Albania"	"VNP"	"418585.5591212"	"0.000914499133387992"	"21056.6704499385"	"5.17770175814953e-05"	"90223.7661337562"	"92556.8662395052"	"1.02585904142252"	"0.682059278248342"	"307377.007437356"	"1934090.06666667"	"1934090.06666667"	"1934090.06666667"	"309089.118766095"	"1687485.68123391"	"1996574.8"	"2270846.33333333"	"2333331.06666667"	"0.00697211000667844"	"0.146355942174344"	"0.0400101531527202"	"0.57825239499269"	"0.57825239499269"	"0.583077179101328"	"0.577186562056895"	"9540035771.14069"	"5516752197.62279"	"4023283573.51789"	0.720266667	0.654110755	0.804031035	2960676	2875	771.5	0.268347826
"Algeria"	"Total"	"9847282.35714286"	"0.0201221285269352"	"20828.7142857143"	"4.75351390710797e-05"	"3223995"	"4139261"	"1.28389187948492"	"1"	"1443695.67406265"	"13870609.5"	"13870609.5"	"13798662.7857143"	"1575340.39312218"	"13072255.3211635"	"14647595.7142857"	"22920076.9285714"	"23625116.4285714"	"0.00558757676055926"	"0.000759337149751915"	"0.41681413028864"	"0.364571311560517"	"0.364571311560517"	"0.41697221001573"	"0.33113765312097"	"67378089902.0587"	"24475830420.5727"	"42902259481.4861"	0.705533333	0.73835997	0.778862234	35073317	238174	1956	0.008212483
